Title,Budget,Year,Genre,Rating,LetterboxdRating,Letterboxd URI,Length,Actors
Knowing,50000000,2009,Mystery|ScienceFiction|Thriller|Action,3,2.69,https://boxd.it/1Pmy,121,Nicolas Cage|Rose Byrne|Chandler Canterbury
Limitless,27000000,2011,Thriller|ScienceFiction|Mystery,4.5,3.33,https://boxd.it/Aly,105,Bradley Cooper|Robert De Niro|Abbie Cornish
Logan,97000000,2017,Drama|ScienceFiction|Action,4.5,4.12,https://boxd.it/7Piy,137,Hugh Jackman|Dafne Keen|Patrick Stewart
Looper,30000000,2012,ScienceFiction|Thriller|Action,4,3.57,https://boxd.it/ham,118,Joseph Gordon-Levitt|Bruce Willis|Emily Blunt
"Love, Death & Robots: All Through the House",0,2021,Animation|Fantasy|ScienceFiction,3.5,3.42,https://boxd.it/vhXA,7,Sami Amber|Fred Tatasciore
"Love, Death & Robots: Alternate Histories",0,2019,Animation|Fantasy|ScienceFiction,2.5,2.78,https://boxd.it/lJHg,7,Rebecca Riedy|Dieter Jansen|Scott Whyte
"Love, Death & Robots: Automated Customer Service",0,2021,ScienceFiction|Animation|Fantasy,2,2.91,https://boxd.it/vhLk,12,Nancy Linari|Ben Giroux|Brian Keane
"Love, Death & Robots: Bad Travelling",0,2022,Mystery|Thriller|Adventure|Drama|Fantasy|Horror|Animation|Action,4.5,4.16,https://boxd.it/BykM,21,Troy Baker|Kevin Jackson|Fred Tatasciore
"Love, Death & Robots: Beyond the Aquila Rift",0,2019,Animation|Drama,4.5,3.47,https://boxd.it/lGTe,16,
"Love, Death & Robots: Blindspot",0,2019,,2.5,2.77,https://boxd.it/lJH6,8,
"Love, Death & Robots: Fish Night",0,2019,,3.5,3.16,https://boxd.it/lJGs,10,
"Love, Death & Robots: Good Hunting",0,2019,,3.5,3.59,https://boxd.it/lJFO,17,
"Love, Death & Robots: Helping Hand",0,2019,,3,3.23,https://boxd.it/lJGW,10,
"Love, Death & Robots: Ice",0,2021,Animation|Adventure|Action,4,3.19,https://boxd.it/vhLu,13,Sebastian Croft|Archie Madekwe|Beatriz Godinho
"Love, Death & Robots: Ice Age",0,2019,Animation|Fantasy|ScienceFiction,3,3,https://boxd.it/lJG8,10,Mary Elizabeth Winstead|Topher Grace|John DiMaggio
"Love, Death & Robots: In Vaulted Halls Entombed",0,2022,,4,3.16,https://boxd.it/AW7A,15,
"Love, Death & Robots: Jibaro",0,2022,Horror|Animation|Adventure,5,4.14,https://boxd.it/EqO6,17,Girvan 'Swirv' Bramble
"Love, Death & Robots: Kill Team Kill",0,2022,,3,2.85,https://boxd.it/AW6M,13,
"Love, Death & Robots: Life Hutch",0,2021,Fantasy|ScienceFiction|Animation,2.5,2.8,https://boxd.it/vdRe,13,Michael B. Jordan|Michelle Bonilla|Brian T. Delaney
"Love, Death & Robots: Lucky 13",0,2019,Fantasy|ScienceFiction|Animation,3,3.09,https://boxd.it/lJGC,14,Samira Wiley|Daisuke Tsuji|Nestor Serrano
"Love, Death & Robots: Mason's Rats",0,2022,Animation|Fantasy|ScienceFiction,4,3.49,https://boxd.it/AW76,10,Craig Ferguson|Dan Stevens
"Love, Death & Robots: Night of the Mini Dead",0,2022,Animation|Fantasy|ScienceFiction,3,3.46,https://boxd.it/AW6s,7,
"Love, Death & Robots: Pop Squad",0,2021,Fantasy|Animation|ScienceFiction,4,3.77,https://boxd.it/vhLE,18,Nolan North|Elodie Yung|Emily O'Brien
"Love, Death & Robots: Shape-Shifters",0,2019,Fantasy|Animation|ScienceFiction,2.5,3.02,https://boxd.it/lJFY,16,Graham Hamilton|Adam Bartley|Jim Pirri
"Love, Death & Robots: Snow in the Desert",0,2021,Animation|ScienceFiction|Fantasy,3,3.36,https://boxd.it/vhLO,18,Peter Franz�n|Zita Hanrot|Ala�s Lawson
"Love, Death & Robots: Sonnie's Edge",0,2019,Comedy|Animation|Fantasy,3,3.6,https://boxd.it/lECg,15,Helen Sadler|Hayley McLaughlin|Time Winters
